Original_Region,Mapped_Region
87G7HX,1
87G8V6,2
87G8X4,3
87G8P5,4
87G8J2,5
87G7PW,6
87G8J3,7
87G7WR,8
87G7VW,9
87G8W6,10
87G7VR,11
87G7QW,12
87G8R5,13
87G7JV,14
87G8P4,15
87G8W4,16
87G7PX,17
87G7WW,18
87G8Q4,19
87G7MV,20
87G8H4,21
87G7QQ,22
87G7XW,23
87G7JW,24
87G8V4,25
87G8H3,26
87G7JQ,27
87G8V2,28
87G7QR,29
87G8J4,30
87G7RX,31
87G8J5,32
87G7WX,33
87G8R4,34
87G7HV,35
87G7MR,36
87G8W3,37
87G8P2,38
87G8W5,39
87G8Q7,40
87G7QX,41
87G8Q8,42
87G7RR,43
87G7MW,44
87G8J6,45
87G8Q5,46
87G7MQ,47
87G8M3,48
87G7MX,49
87G7RV,50
87G8M7,51
87G7VV,52
87G7WV,53
87G8P3,54
87G8H2,55
87G8M2,56
87G7HW,57
87G7RQ,58
87G7JR,59
87G7JX,60
87G7QV,61
87G8V3,62
87G8M4,63
87G8M6,64
87G7VQ,65
87G7RW,66
87G8W2,67
87G7PR,68
87G8H5,69
87G8Q6,70
87G7PV,71
87G8P6,72
87G7HR,73
87G8R2,74
87G7WQ,75
87G7XV,76
87G7VX,77
87G8P7,78
87G8X2,79
87G7PQ,80
87G8Q3,81
87G8H6,82
87G8M5,83
87G8Q2,84
87G7QP,85
87G8R3,86
87G7PP,87
87G8V5,88
